,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.003912900000159425,55.0,200.0,True,200,0.25,1000
1,1,0.05010020000008808,69.0,402.0,True,200,0.25,1000
2,2,0.09071770000014112,75.0,604.0,True,200,0.25,1000
3,3,0.1339393000000655,79.0,806.0,True,200,0.25,1000
4,4,0.17489000000000487,83.0,1008.0,True,200,0.25,1000
5,5,0.2145076000001609,88.0,1210.0,True,200,0.25,1000
6,6,0.2555257999999867,89.0,1412.0,True,200,0.25,1000
7,7,0.29978959999994004,93.0,1614.0,True,200,0.25,1000
8,8,0.3445134999999482,95.0,1816.0,True,200,0.25,1000
9,9,0.392777199999955,96.0,2018.0,True,200,0.25,1000
10,10,0.4406080999999631,99.0,2220.0,True,200,0.25,1000
11,11,0.47842450000007375,100.0,2422.0,True,200,0.25,1000
12,12,0.5354237000001376,100.0,2623.0,True,200,0.25,1000
13,13,0.591255700000147,100.0,2824.0,True,200,0.25,1000
14,14,0.6410158999999567,100.0,3025.0,True,200,0.25,1000
15,15,0.7183153000000857,100.0,3226.0,True,200,0.25,1000
16,16,0.7587998999999854,100.0,3427.0,True,200,0.25,1000
17,17,0.845863799999961,100.0,3628.0,True,200,0.25,1000
18,18,0.9315467999999782,100.0,3829.0,True,200,0.25,1000
19,19,1.0292702000001555,100.0,4030.0,True,200,0.25,1000
20,20,1.1120393000001059,100.0,4231.0,True,200,0.25,1000
21,21,1.1955825000000004,100.0,4432.0,True,200,0.25,1000
22,22,1.2803453999999874,100.0,4633.0,True,200,0.25,1000
23,23,1.369870100000071,100.0,4834.0,True,200,0.25,1000
24,24,1.471441200000072,100.0,5035.0,True,200,0.25,1000
25,25,1.55485160000012,100.0,5236.0,True,200,0.25,1000
26,26,1.640806399999974,100.0,5437.0,True,200,0.25,1000
27,27,1.724145500000077,100.0,5638.0,True,200,0.25,1000
28,28,1.8082312999999886,100.0,5839.0,True,200,0.25,1000
29,29,1.8964284999999563,100.0,6040.0,True,200,0.25,1000
30,30,1.9819700000000466,100.0,6241.0,True,200,0.25,1000
31,31,2.0642715000001317,100.0,6442.0,True,200,0.25,1000
32,32,2.148516900000004,100.0,6643.0,True,200,0.25,1000
33,33,2.2325267999999596,100.0,6844.0,True,200,0.25,1000
34,34,2.3145853000000898,100.0,7045.0,True,200,0.25,1000
35,35,2.4020620999999664,100.0,7246.0,True,200,0.25,1000
36,36,2.4853129000000536,100.0,7447.0,True,200,0.25,1000
37,37,2.570274500000096,100.0,7648.0,True,200,0.25,1000
38,38,2.656196300000147,100.0,7849.0,True,200,0.25,1000
39,39,2.7485317000000578,100.0,8050.0,True,200,0.25,1000
40,40,2.8296291999999994,100.0,8251.0,True,200,0.25,1000
41,41,2.9155874000000495,100.0,8452.0,True,200,0.25,1000
42,42,3.0130457000000206,100.0,8653.0,True,200,0.25,1000
43,43,3.09391810000011,100.0,8854.0,True,200,0.25,1000
44,44,3.175537100000156,100.0,9055.0,True,200,0.25,1000
45,45,3.258215699999937,100.0,9256.0,True,200,0.25,1000
46,46,3.3416117000001577,100.0,9457.0,True,200,0.25,1000
47,47,3.4299448000001576,100.0,9658.0,True,200,0.25,1000
48,48,3.516432399999985,100.0,9859.0,True,200,0.25,1000
49,49,3.601603400000158,100.0,10060.0,True,200,0.25,1000
50,50,3.682180600000038,100.0,10261.0,True,200,0.25,1000
51,51,3.7629653999999846,100.0,10462.0,True,200,0.25,1000
52,52,3.8470164000000295,100.0,10663.0,True,200,0.25,1000
53,53,3.9297176000000036,100.0,10864.0,True,200,0.25,1000
54,54,4.01378550000004,100.0,11065.0,True,200,0.25,1000
55,55,4.094158000000107,100.0,11266.0,True,200,0.25,1000
56,56,4.176869300000135,100.0,11467.0,True,200,0.25,1000
57,57,4.259536700000126,100.0,11668.0,True,200,0.25,1000
58,58,4.339388099999951,100.0,11869.0,True,200,0.25,1000
59,59,4.427626400000008,100.0,12070.0,True,200,0.25,1000
60,60,4.5139175000001615,100.0,12271.0,True,200,0.25,1000
61,61,4.596330900000112,100.0,12472.0,True,200,0.25,1000
62,62,4.678534000000127,100.0,12673.0,True,200,0.25,1000
63,63,4.760664500000075,100.0,12874.0,True,200,0.25,1000
64,64,4.854496100000006,100.0,13075.0,True,200,0.25,1000
65,65,4.935633199999984,100.0,13276.0,True,200,0.25,1000
66,66,5.02118140000016,100.0,13477.0,True,200,0.25,1000
67,67,5.103838600000017,100.0,13678.0,True,200,0.25,1000
68,68,5.185161600000129,100.0,13879.0,True,200,0.25,1000
69,69,5.268004000000019,100.0,14080.0,True,200,0.25,1000
70,70,5.347853900000018,100.0,14281.0,True,200,0.25,1000
71,71,5.428955900000119,100.0,14482.0,True,200,0.25,1000
72,72,5.514111599999978,100.0,14683.0,True,200,0.25,1000
73,73,5.605306500000097,100.0,14884.0,True,200,0.25,1000
74,74,5.686965600000121,100.0,15085.0,True,200,0.25,1000
75,75,5.768581499999982,100.0,15286.0,True,200,0.25,1000
76,76,5.882836499999939,100.0,15487.0,True,200,0.25,1000
77,77,5.96556610000016,100.0,15688.0,True,200,0.25,1000
78,78,6.05008799999996,100.0,15889.0,True,200,0.25,1000
79,79,6.131258800000069,100.0,16090.0,True,200,0.25,1000
80,80,6.214720299999954,100.0,16291.0,True,200,0.25,1000
81,81,6.297981200000095,100.0,16492.0,True,200,0.25,1000
82,82,6.3804064000000835,100.0,16693.0,True,200,0.25,1000
83,83,6.463735700000143,100.0,16894.0,True,200,0.25,1000
84,84,6.552285400000073,100.0,17095.0,True,200,0.25,1000
85,85,6.637382699999989,100.0,17296.0,True,200,0.25,1000
86,86,6.719859900000074,100.0,17497.0,True,200,0.25,1000
87,87,6.800547400000141,100.0,17698.0,True,200,0.25,1000
88,88,6.881431300000031,100.0,17899.0,True,200,0.25,1000
89,89,6.965106399999968,100.0,18100.0,True,200,0.25,1000
90,90,7.049328500000001,100.0,18301.0,True,200,0.25,1000
91,91,7.141939500000035,100.0,18502.0,True,200,0.25,1000
92,92,7.224980800000139,100.0,18703.0,True,200,0.25,1000
93,93,7.322803700000122,100.0,18904.0,True,200,0.25,1000
94,94,7.403667300000052,100.0,19105.0,True,200,0.25,1000
95,95,7.487381599999935,100.0,19306.0,True,200,0.25,1000
96,96,7.573042400000077,100.0,19507.0,True,200,0.25,1000
97,97,7.655028099999981,100.0,19708.0,True,200,0.25,1000
98,98,7.750632400000086,100.0,19909.0,True,200,0.25,1000
99,99,7.831846199999973,100.0,20110.0,True,200,0.25,1000
100,100,7.911556100000098,100.0,20311.0,True,200,0.25,1000
101,101,7.993231300000161,100.0,20512.0,True,200,0.25,1000
102,102,8.084853199999998,100.0,20713.0,True,200,0.25,1000
103,103,8.177231900000152,100.0,20914.0,True,200,0.25,1000
104,104,8.267362100000128,100.0,21115.0,True,200,0.25,1000
105,105,8.365513700000065,100.0,21316.0,True,200,0.25,1000
106,106,8.46447000000012,100.0,21517.0,True,200,0.25,1000
107,107,8.559447900000123,100.0,21718.0,True,200,0.25,1000
108,108,8.649169000000029,100.0,21919.0,True,200,0.25,1000
109,109,8.753270899999961,100.0,22120.0,True,200,0.25,1000
110,110,8.878779000000122,100.0,22321.0,True,200,0.25,1000
111,111,8.983396300000095,100.0,22522.0,True,200,0.25,1000
